ID;Term;Begrepsforklaring;Definisjon;Språkversjoner;Beskrivelsestype;Alternative termer;Kilde;Frarådde termer;Eksempler
BEGREP-2096;Meldekortperiode;Meldekortperiodene starter alltid på en mandag og slutter på en søndag. ;en periode på 14 dager som et [meldekort|BEGREP-2047] gjelder for.;Bokmål;Faglig definisjon;Meldeperiode;"LOV-1997-02-28-19 Lov om folketrygd (folketrygdloven) §§ 4-8 og 11-10 

FOR-2013-11-04-1286 Forskrift om tiltakspenger mv. (tiltakspengeforskriften) § 5";;
BEGREP-2088;Master;;Den databasen, den filen eller det IT-systemet som inneholder masterdata.;Bokmål;Faglig fortolkning;Masterdatabase, mastersystem, masterkilde, masterfil;"""Masterdata management"". I: Grunnleggende termer. Hentet 18. februar 2019 fra https://www.uio.no/tjenester/it/sikkerhet/integrasjonsarkitektur/hjelp/termer.html.";;"- [Arbeidsgiver- og arbeidstakerregisteret|BEGREP-870] er master for informasjon om arbeidsforhold i Norge. 
- Matrikkelen er master for fast eiendom, eiendomsgrenser, adresser og bygninger i Norge. 
- Folkeregisteret er master for nøkkelopplysninger om alle personer som er eller har vært bosatt i Norge. 
- I 2020 blir NAVs nye persondataløsning master for grunnleggende personopplysninger i NAV."
BEGREP-2086;Informasjonsmodell;"En informasjonsmodell beskrives i et modellspråk.  

Eksempler på modellspråk er Object Role Modeling (ORM), Entity Attribute Relationship (EAR), Unified Modeling Language (UML) klassediagrammer.";"""En fullstendig beskrivelse av interesseområdet.""";Bokmål;Faglig definisjon;Semantisk datamodell;INF3100 Databasesystemer. Munthe-Kaas, E. (2010). Institutt for informatikk, Universitetet i Oslo. Hentet 17. februar 2019 fra [https://www.uio.no/studier/emner/matnat/ifi/INF3100/v10/undervisningsmateriale/lysark/kap01_kap02_1-2.pdf].;;
BEGREP-2062;Informasjonselement;;Et [dataelement|https://jira.adeo.no/browse/BEGREP-2061], eller flere dataelementer som hører sammen, der tolkningen framgår av navn, kontekst eller definisjon.;Bokmål;Faglig fortolkning;;"Informasjon om Skatteetatens prosjekt Modernisering av Folkeregisteret. Hentet 16. november 2018 fra [https://www.skatteetaten.no/person/folkeregister/om/modernisering/ny-informasjon]; 
IKT i det offentlige 2002. Kartlegging av status for bruk av informasjons- og kommunikasjonsteknologi (IKT) i det offentlige. Direktoratet for forvaltning og IKT (Difi). Hentet 16. november 2018 fra [https://www.difi.no/sites/difino/files/n2002-04.pdf]; 
Meldingshåndbok TVINN-FAKTURA _Versjon 1.1 , EDIFACT katalog:INVOIC D.93A. NorStella, EdiSys og Toll- og avgiftsdirektoratet. 2010, EDIFACT katalog:INVOIC D.93A. Hentet 16. november 2018 fra [https://docplayer.me/3121517-Meldingshandbok-tvinn-faktura.html]; 
Forbrukerrådets kommunetester, 2015. Forbrukerrådet. Hentet 16. november 2018 fra [https://www.forbrukerradet.no/side/forbrukerradets-kommunetester/]";;"- Fødselsnummer 
- Statsborgerskap 
- Bostedsadresse"
BEGREP-2058;Systemkilde;Begrepet brukes om et IT-system i eller utenfor NAV som leverer informasjon til NAV.;et [IT-system|https://jira.adeo.no/browse/BEGREP-969] som en gitt opplysning kommer fra.;Bokmål;Faglig fortolkning;;;;"- Gosys 
- Pesys 
- E500"
BEGREP-2056;Maskinlesbare data;"""Maskinlesbare dataformater, som XML, JSON og CSV egner seg derfor godt til viderebruk. Bildefiler (skanna informasjon) og PDF-dokumenter er eksempler på formater som er krevende for maskiner å hente strukturert informasjon fra.""";"""Maskinlesbare [data|BEGREP-377] er data i et format som kan leses og bearbeides av en datamaskin og dermed lett kan deles på tvers av IT-systemer.""";Bokmål;Faglig definisjon;;"""Åpne data"". Hentet 28. september 2018 fra https://data.norge.no/document/del-og-skap-verdier-veileder-i-tilgjengeliggj%C3%B8ring-av-offentlige-data/hva-er-%C3%A5pne-data.";;
BEGREP-2055;Offentlige data;;"""Offentlige [data|BEGREP-377] er alle data som er organisert og arkivert i offentlig sektor, [...] som enten er samlet inn utenfra eller blir utarbeidet av de ansatte i en statlig virksomhet.""";Bokmål;Faglig definisjon;;"""Åpne data"". Hentet 28. september 2018 fra https://data.norge.no/document/del-og-skap-verdier-veileder-i-tilgjengeliggj%C3%B8ring-av-offentlige-data/hva-er-%C3%A5pne-data.";;"- Næringslivsregistre 
- Kartdata 
- Organisasjonsmodeller 
- Budsjett og årsregnskap"
BEGREP-2053;Åpne data;"""Dataeiere kan ikke kreve mer enn at man navngir og/eller deler videre på samme vilkår. 

*Tilgjengelighet og tilgang:* Dataene må være tilgjengelige i sin helhet, helst som gratis nedlasting eller spørregrensesnitt (API) via Internett. Dataene må også være tilgjengelige i en enkel form og mulig å redigere. 

*Deling og viderebruk:* Dataene må gjøres tilgjengelige under vilkår som tillater deling og viderebruk, også når de kombineres med andre datasett. 

*Universell deltakelse:* Alle skal ha muligheten til å bruke og dele – ingen arbeidsområder, enkeltindivid eller grupper skal diskrimineres. Det er ikke tillatt med restriksjoner som hindrer kommersiell bruk, eller restriksjoner for enkelte bruksområder, som for eksempel «bare i undervisning».""";"""[Data|BEGREP-377] som er fritt tilgjengelig for bruk og viderebruk av alle[...].”";Bokmål;Faglig definisjon;;"""Åpne data"". Hentet 28. september 2018 fra https://data.norge.no/document/del-og-skap-verdier-veileder-i-tilgjengeliggj%C3%B8ring-av-offentlige-data/hva-er-%C3%A5pne-data.";;
BEGREP-2052;Masterdata;Masterdata finnes i en [master|BEGREP-2088]. Disse skal være gjeldende versjon av opplysningstypene som er representert i [datasettet|BEGREP-1951]. Masterdata kan kopieres til bruk andre steder, men all oppdatering skal skje i masteren.;Autoritative data for gitte [opplysningstyper|BEGREP-2023].;Bokmål;Faglig definisjon;Master data;"""Masterdata management"". I: Grunnleggende termer. Hentet 18. februar 2019 fra https://www.uio.no/tjenester/it/sikkerhet/integrasjonsarkitektur/hjelp/termer.html.";;
BEGREP-2048;Automatisering;;"""[...] teknikken å få [systemer|BEGREP-969] til å fungere uten, eller med liten grad av menneskelig medvirkning.""";Bokmål;Faglig definisjon;Automasjon, mekanisering;"""Automatisering"". I: Store norske leksikon. Hentet 6. september 2018 fra https://snl.no/automatisering";;
BEGREP-2047;Meldekort;Via meldekortet kan bruker regelmessig orientere NAV om situasjonen sin ved å melde fra om arbeid, aktivitet, fravær fra aktivitet eller sykdom de siste 14 dagene. Meldekort kan sendes inn elektronisk eller på papir. Opplysningene blir brukt til å beregne utbetaling av dagpenger, arbeidsavklaringspenger og tiltakspenger. Opplysningene blir også brukt til å vurdere om bruker får riktig oppfølging fra NAV, og om den aktiviteten bruker har avtalt med NAV bør justeres fordi brukers situasjon har endret seg. På meldekortet gir bruker også beskjed om at vedkommende fortsatt vil være registrert som arbeidssøker hos NAV, hvilket danner grunnlag for ledighetstallene som NAV publiserer.;Et verktøy for NAV til å beregne utbetaling av dagpenger, arbeidsavklaringspenger og tiltakspenger, og for bruker til å rapportere om arbeid, aktivitet, fravær av aktivitet eller sykdom gjennom en 14 dagers periode, og for bruker til å gi beskjed om at vedkommende fortsatt vil være registrert som arbeidssøker hos NAV.;;Faglig definisjon;;"LOV-1997-02-28-19 Lov om folketrygd (folketrygdloven) §§ 4-8 og 11-10 
FOR-2013-11-04-1286 Forskrift om tiltakspenger mv. (tiltakspengeforskriften) § 5";;
BEGREP-2023;Opplysningstype;"En opplysningstype kan representeres av ett eller flere informasjonselementer. 

Opplysningstypen forteller hva opplysningen heter, og [informasjonselementene|BEGREP-2062] er selve opplysningene/informasjonen/dataene.";Et navn på en opplysning eller en gruppe av opplysninger.;Bokmål;Faglig fortolkning;;;;"- [Personnavn|BEGREP-641] 
- Fødselsdato 
- Enhetsnavn 
- Diagnose 
- [Kilde|BEGREP-2067]"
